# productGID,Suchtitel (EN bevorzugt) — Ziele für AE-Video-Fetch (Weg A/B) & Luma (Weg C nutzt nur die GID)
# Die 16 neuen Produkte von 2026-06-13 (Runde 1–6) zuerst.
gid://shopify/Product/15430179357057,S925 sterling silver pearl dangle earrings fan
gid://shopify/Product/15430179422593,S925 sterling silver hollow mesh bracelet
gid://shopify/Product/15430179455361,outdoor inflatable lounger bed with sunshade umbrella
gid://shopify/Product/15430179520897,camping chair with umbrella sunshade foldable
gid://shopify/Product/15430179586433,foldable PU leather weekender travel duffel bag
gid://shopify/Product/15430179651969,retro turntable bluetooth speaker wood
gid://shopify/Product/15430176997761,solar wind chime color changing LED dragonfly
gid://shopify/Product/15430171525505,solar garden lights outdoor
gid://shopify/Product/15430171427201,magnetic couple heart necklace set
gid://shopify/Product/15430169985409,burger smasher press grill set
gid://shopify/Product/15430169919873,seashell pendant necklace
gid://shopify/Product/15430169133441,LED wall light reading spot
gid://shopify/Product/15430169002369,inflatable pool tic tac toe game
gid://shopify/Product/15430168117633,slow feeder dog bowl
gid://shopify/Product/15430168052097,cordless rechargeable table lamp
gid://shopify/Product/15430167855489,donut dog bed plush
