kategorie,ali_suchbegriff,ziel_ek_usd_max,ziel_chf,winkel_mundart,qa_hinweis
Magnet-Herz-Halskette (Paar 2-tlg),"magnetic couple necklace heart 2pcs set stainless steel",6,34.90,"Zwöi Hälfte, ei Härz — für di & dyni Person",2 Teile sichtbar; KEIN Overlay/asiat. Schrift; Edelstahl (anlauffrei)
His/Hers Partner-Armband-Set (wasserfest),"couple bracelet set stainless steel waterproof his hers",7,36.90,"Partner-Armbänder wo nie alaufe — am See, im Wasser, immer",2-tlg Set; verstellbar; KEIN Gravur-Zwang (sonst Fulfillment-Risiko)
King & Queen Armband-Set,"king queen couple bracelet set stainless steel crown",7,34.90,"King & Queen — s perfekte Pärli-Gschänk",Krone-Motiv sauber; Edelstahl; kein Billig-Legierung-Look
Sun & Moon Halskette (Paar),"sun moon couple necklace matching set",6,32.90,"Sunne & Mond — ihr ghöred zäme",2-tlg; klare Motive; kein Overlay
Cuban-Link Armband (Herren, viral),"cuban link bracelet men stainless steel 18k",8,39.90,"Dr Cuban-Link wo grad jede wott",Massiv-Look; Edelstahl 18K-plated; kein billiges Plastik
Kleeblatt-Kette (4-leaf, viral),"four leaf clover necklace women stainless steel",6,34.90,"Dr Glücks-Klee — Trend us TikTok",anlauffrei; Stein sauber gefasst; kein Overlay-Text
Partner-Ringe Set (verstellbar),"couple rings set adjustable stainless steel",6,29.90,"Pärli-Ringe — verstellbar, passt immer",VERSTELLBAR (keine fixe Grösse=Retourenrisiko); 2-tlg
Distance-Armband (Magnet, Paar),"long distance couple bracelet magnetic matching",6,32.90,"Au über d Distanz verbunde — Magnet-Pärli-Armband",Magnet funktioniert sichtbar; Edelstahl/Naturstein sauber
Layering-Halsketten-Set (Hype Damen),"layered necklace set women gold stainless steel waterproof",7,36.90,"3 Ketteli i eim — fertig gestaplet",wasserfest; kein Verheddern-Look; 18K-plated
Statement-Creolen (Hype Damen),"chunky hoop earrings gold stainless steel hypoallergenic",6,29.90,"D Creolen wo zu allem passe",hypoallergen; Edelstahl; kein asiat. Verpackungs-Text
Herren Leinenhemd kurzarm (Sommer),"men linen shirt short sleeve summer casual",8,49.90,"Dr Sommer-Klassiker für ihn — luftig & edel",Grössentabelle PFLICHT (S-XXL EU); KEIN asiat. Model/Text; uni Farben
Herren Cuban-Collar Hemd (Resort),"men cuban collar bowling shirt summer",8,52.90,"Resort-Vibe für d Ferie & dr Apéro",Grössentabelle PFLICHT; sauberes Studio/Lifestyle-Bild; kein Overlay
Herren Oversized Hemd (Streetwear),"men oversized shirt streetwear unisex",8,49.90,"Dr relaxte Oversized-Look",unisex ok; Grössentabelle; kein asiat. Verpackungs-Text
