name,handle,label,date
strohtasche,handwoven-straw-beach-tote-summer-2026,Strand-Strohtasche XL (geflochten),2026-06-07
daisy,polka-dot-retro-kleid-daisy-deep-v-mit-schleife,Polka-Dot-Kleid «Daisy»,2026-06-07
cateye,cat-eye-sonnenbrille-felina-polarisiert,Cat-Eye-Sonnenbrille (Damen),2026-06-07
sirene,abendkleid-sirene-high-slit-meerjungfrau-mit-schleppe,Abendkleid «Sirène»,2026-06-07
brise,off-shoulder-kleid-brise-locker-armellos,Off-Shoulder-Kleid «Brise»,2026-06-08
strohtasche,handwoven-straw-beach-tote-summer-2026,Strand-Strohtasche XL (geflochten),2026-06-08
daisy,polka-dot-retro-kleid-daisy-deep-v-mit-schleife,Polka-Dot-Kleid «Daisy»,2026-06-08
dosnu,sommerkleid-dos-nu-locker-mit-rucken-cut-out,Sommerkleid «Dos Nu»,2026-06-08
cateye,cat-eye-sonnenbrille-felina-polarisiert,Cat-Eye-Sonnenbrille (Damen),2026-06-08
cosy,kapuzen-cardigan-cosy-uni-mit-knopfen-damen,Kapuzen-Cardigan «Cosy»,2026-06-08
nuit,crossbody-tasche-nuit-elegant-im-vintage-look,Crossbody-Tasche «Nuit»,2026-06-08
active,workout-set-active-2-teilig-geripptes-tank-damen,Workout-Set «Active» (2-tlg.),2026-06-08
sommerriv,sommer-set-riviera-2-teilig-lassig-damen,Sommer-Set «Riviera» (2-tlg.),2026-06-08
sonnenbrille-chrome,sonnenbrille-chrome-polarisiert-color-changing,Sonnenbrille «Chrome» · polarisiert,2026-06-09
aurora-kleid,abendkleid-aurora-satin-spaghettitrager-schlitz,Abendkleid «Aurora» · Satin mit Schlitz,2026-06-09
monsieur-hemd,herren-sommerhemd-monsieur-french-court-style-kurzarm,Herren-Sommerhemd «Monsieur» · Kurzarm,2026-06-09
nackenventilator,bladeless-nackenventilator-usb-akku-5-stufen-flusterleise,Bladeless Nackenventilator · USB · leise,2026-06-09
lueur-lampe,kerzenwarmer-lampe-lueur-mit-timer-dimmer,Kerzenwärmer-Lampe «Lueur» · Timer & Dimmer,2026-06-09
blazer-roma-tailliert-mit-bindegurtel-revers,,Blazer «Roma»,2026-06-11
herren-slides-porto-cross-strap-wildleder-optik,,Herren-Slides «Porto»,2026-06-11
silber-armreif-serpent-s925-schlangenschuppen-optik,,Silber-Armreif «Serpent»,2026-06-11
herren-strickhemd-amalfi-ajour-knit-camp-kragen,,Herren-Strickhemd «Amalfi»,2026-06-11
moissanite-herzkette-coeur-s925-silber-infinity,,Moissanite-Herzkette «Coeur»,2026-06-11
