typ,text,link,status
Glossar,"„LLM (Large Language Model)“ — das Wort fällt ständig. Kurz und ehrlich, was es WIRKLICH heißt:

Ein großes Sprachmodell, das aus riesigen Textmengen gelernt hat, das nächste Wort vorherzusagen.

Klartext: Eine sehr gute Autovervollständigung. Es „versteht“ nicht wie ein Mensch — es rechnet Wahrscheinlichkeiten.

⚠️ „Die KI denkt“ ist Marketing. Sie sagt plausible Wörter voraus, mehr nicht.

Mehr Begriffe ohne Hype erklärt → https://abannews.com/ki-glossar.html

#KI #DACH #Newsletter #abannews",https://abannews.com/ki-glossar.html,entwurf
Glossar,"„Prompt“ — das Wort fällt ständig. Kurz und ehrlich, was es WIRKLICH heißt:

Die Eingabe/Anweisung, die du dem Modell gibst.

Klartext: Was du in den Chat tippst. Je klarer und konkreter, desto besser das Ergebnis.

Mehr Begriffe ohne Hype erklärt → https://abannews.com/ki-glossar.html

#KI #DACH #Newsletter #abannews",https://abannews.com/ki-glossar.html,entwurf
Glossar,"„Token“ — das Wort fällt ständig. Kurz und ehrlich, was es WIRKLICH heißt:

Die kleinste Einheit, in die Text fürs Modell zerlegt wird — oft Wortteile.

Klartext: Abrechnungs- und Längeneinheit. „1000 Tokens“ sind grob 700–750 deutsche Wörter.

Mehr Begriffe ohne Hype erklärt → https://abannews.com/ki-glossar.html

#KI #DACH #Newsletter #abannews",https://abannews.com/ki-glossar.html,entwurf
Glossar,"„Kontextfenster“ — das Wort fällt ständig. Kurz und ehrlich, was es WIRKLICH heißt:

Wie viel Text (Tokens) ein Modell gleichzeitig „im Blick“ behalten kann.

Klartext: Das Kurzzeitgedächtnis pro Chat. Ist es voll, vergisst das Modell den Anfang.

⚠️ Riesige Kontextfenster klingen toll — die Qualität in der Mitte langer Eingaben lässt aber oft nach.

Mehr Begriffe ohne Hype erklärt → https://abannews.com/ki-glossar.html

#KI #DACH #Newsletter #abannews",https://abannews.com/ki-glossar.html,entwurf
Glossar,"„Halluzination“ — das Wort fällt ständig. Kurz und ehrlich, was es WIRKLICH heißt:

Wenn das Modell etwas Falsches selbstbewusst als Fakt ausgibt.

Klartext: Es erfindet Quellen, Zahlen oder Namen, die echt klingen. Immer prüfen.

⚠️ Kein seltener Bug, sondern Teil der Funktionsweise. Deshalb: nie ungeprüft übernehmen.

Mehr Begriffe ohne Hype erklärt → https://abannews.com/ki-glossar.html

#KI #DACH #Newsletter #abannews",https://abannews.com/ki-glossar.html,entwurf
Glossar,"„RAG (Retrieval-Augmented Generation)“ — das Wort fällt ständig. Kurz und ehrlich, was es WIRKLICH heißt:

Das Modell schlägt vor der Antwort in deinen Dokumenten/Daten nach und nutzt die Funde.

Klartext: KI mit angeschlossenem Aktenschrank — antwortet auf Basis deiner echten Unterlagen.

⚠️ Reduziert Halluzinationen, beseitigt sie aber nicht. Die Quelle muss stimmen.

Mehr Begriffe ohne Hype erklärt → https://abannews.com/ki-glossar.html

#KI #DACH #Newsletter #abannews",https://abannews.com/ki-glossar.html,entwurf
Glossar,"„Agent“ — das Wort fällt ständig. Kurz und ehrlich, was es WIRKLICH heißt:

Ein KI-System, das mehrschrittig handelt: planen, Werkzeuge nutzen, Ergebnis prüfen.

Klartext: Nicht nur antworten, sondern Aufgaben erledigen (z. B. recherchieren, Mails entwerfen, Tools bedienen).

⚠️ 2026 das Buzzword schlechthin. Vieles „Agentic“ sind in Wahrheit ein paar verkettete Prompts.

Mehr Begriffe ohne Hype erklärt → https://abannews.com/ki-glossar.html

#KI #DACH #Newsletter #abannews",https://abannews.com/ki-glossar.html,entwurf
Glossar,"„Fine-Tuning“ — das Wort fällt ständig. Kurz und ehrlich, was es WIRKLICH heißt:

Ein vortrainiertes Modell mit eigenen Beispielen auf einen Stil/eine Aufgabe nachjustieren.

Klartext: Dem Modell deinen Ton/Spezialfall antrainieren.

⚠️ Oft unnötig: ein gutes Prompt + RAG bringt für kleine Betriebe meist mehr als teures Fine-Tuning.

Mehr Begriffe ohne Hype erklärt → https://abannews.com/ki-glossar.html

#KI #DACH #Newsletter #abannews",https://abannews.com/ki-glossar.html,entwurf
Glossar,"„Embedding“ — das Wort fällt ständig. Kurz und ehrlich, was es WIRKLICH heißt:

Text als Zahlenvektor, der Bedeutung abbildet — Ähnliches liegt nah beieinander.

Klartext: Die Technik hinter „semantischer“ Suche und RAG.

Mehr Begriffe ohne Hype erklärt → https://abannews.com/ki-glossar.html

#KI #DACH #Newsletter #abannews",https://abannews.com/ki-glossar.html,entwurf
Glossar,"„Vektordatenbank“ — das Wort fällt ständig. Kurz und ehrlich, was es WIRKLICH heißt:

Eine Datenbank, die Embeddings speichert und blitzschnell ähnliche findet.

Klartext: Der Aktenschrank hinter RAG.

Mehr Begriffe ohne Hype erklärt → https://abannews.com/ki-glossar.html

#KI #DACH #Newsletter #abannews",https://abannews.com/ki-glossar.html,entwurf
Glossar,"„Temperatur“ — das Wort fällt ständig. Kurz und ehrlich, was es WIRKLICH heißt:

Ein Regler für Zufall/Kreativität bei der Ausgabe (0 = konservativ, hoch = wilder).

Klartext: Niedrig für Fakten/Code, höher für Brainstorming.

Mehr Begriffe ohne Hype erklärt → https://abannews.com/ki-glossar.html

#KI #DACH #Newsletter #abannews",https://abannews.com/ki-glossar.html,entwurf
Glossar,"„Multimodal“ — das Wort fällt ständig. Kurz und ehrlich, was es WIRKLICH heißt:

Ein Modell, das mehrere Eingabe-/Ausgabearten kann: Text, Bild, Audio, teils Video.

Klartext: Du kannst ein Foto reinschicken und Fragen dazu stellen.

Mehr Begriffe ohne Hype erklärt → https://abannews.com/ki-glossar.html

#KI #DACH #Newsletter #abannews",https://abannews.com/ki-glossar.html,entwurf
Glossar,"„Reasoning-Modell“ — das Wort fällt ständig. Kurz und ehrlich, was es WIRKLICH heißt:

Ein Modell, das vor der Antwort sichtbar „nachdenkt“ (Zwischenschritte) — gut für Logik/Mathe.

Klartext: Langsamer und teurer, dafür stärker bei kniffligen Aufgaben.

⚠️ Für einfache Texte überdimensioniert — ein normales Modell reicht da und kostet weniger.

Mehr Begriffe ohne Hype erklärt → https://abannews.com/ki-glossar.html

#KI #DACH #Newsletter #abannews",https://abannews.com/ki-glossar.html,entwurf
Glossar,"„Inferenz“ — das Wort fällt ständig. Kurz und ehrlich, was es WIRKLICH heißt:

Das Ausführen eines fertig trainierten Modells, um eine Antwort zu erzeugen.

Klartext: Der Moment, in dem du auf „Senden“ drückst und es rechnet — das kostet pro Aufruf.

Mehr Begriffe ohne Hype erklärt → https://abannews.com/ki-glossar.html

#KI #DACH #Newsletter #abannews",https://abannews.com/ki-glossar.html,entwurf
